Period,Производство товаров,"Сельское, лесное и рыбное хозяйство",Промышленность,Горнодобывающая промышленность и разработка карьеров,Обрабатывающая промышленность,"Снабжение электроэнергией, газом, паром, горячейводой  и кондиционированнымвоздухом","Водоснабжение; сбор, обработка и удаление отходов, деятельность поликвидации загрязнений",Строительство,Производство услуг,Оптовая и розничнаяторговля; ремонт автомобилей и мотоциклов,Транспорт и складирование,Предоставление услуг по проживанию и питанию,Информация и связь,Финансовая и страховая деятельность,Операции с недвижимым имуществом,"Профессиональная, научная и техническая деятельность",Деятельность в области административного и вспомогательного обслуживания,Государственное управление и оборона; обязательное социальное обеспечение,Образование,Здравоохранение и социальное обслуживание населения,"Искусство, развлечения и отдых",Предоставление прочих видов услуг,"Деятельность домашних хозяйств, нанимающих домашнюю прислугу; деятельность домашних хозяйств по производству товаров и услуг для собственного потребления",Итого по отраслям,Косвенно-измеряемые услуги финансового посредничества,Валовая добавленная стоимость,Чистые налоги на продукты и импорт,Налоги на продукты и импорт,Субсидии на продукты и импорт,Валовой внутренний продукт,Period_Display,Is_Annual
1 квартал 2010г.,107.6,102.3,112.5,107.2,121.4,108.3,110.1,91.3,104.1,111.5,105.2,104.8,105.9,77.8,104.1,109.5,107.9,102.7,103.1,104.8,108.4,104.9,100.0,105.4,76.9,107.4,0.0,102.2,0.0,107.1,1 квартал 2010г.,False
1 полугодие 2010г.,108.34928650148716,102.97251929380631,112.40008604645789,106.37517955678253,122.27440367009945,108.1,107.8,96.1,104.85852993903411,113.0,106.8,110.01613393856908,107.9,89.66009488606937,102.7983995277081,102.6,102.06608187766524,101.2,103.4,105.94060613080306,104.7,103.66711714765546,100.0,106.280649152794,77.0956946481651,107.87222941007528,0.0,109.46859245893974,0.0,107.95166989252158,1 полугодие 2010г.,False
9 месяцев 2010г.,106.1,96.0,110.2,105.0,119.1,107.0,106.2,99.8,105.8,112.9,107.2,112.6,110.2,91.7,102.9,104.9,104.5,102.7,103.5,105.1,104.7,107.7,100.0,105.9,77.9,107.1,0.0,114.2,0.0,107.5,9 месяцев 2010г.,False
2010 год,105.0,88.4,109.2,107.1,113.6,104.8,115.5,102.4,107.1,113.5,107.4,121.9,109.5,87.7,103.5,108.6,119.2,101.4,103.5,105.0,124.7,123.7,105.3,106.2,72.2,107.3,106.5,106.1,95.4,107.3,2010,True
1 квартал 2011г.,105.6,101.7,106.3,104.8,109.2,106.2,103.0,103.1,106.6,114.3,106.9,111.9,118.8,97.4,100.8,102.8,103.0,100.8,104.7,104.9,103.9,105.0,121.6,106.2,89.6,106.5,0.0,108.7,0.0,106.6,1 квартал 2011г.,False
1 полугодие 2011г.,105.0,101.4,105.8,104.1,108.7,106.8,97.6,101.7,107.8,114.3,106.4,110.7,115.7,98.8,101.1,105.5,112.2,100.3,104.4,104.7,113.7,154.4,99.5,106.5,85.6,107.0,0.0,106.1,0.0,107.0,1 полугодие 2011г.,False
9 месяцев 2011г.,105.3,110.8,105.1,102.2,109.3,107.5,100.1,102.9,107.7,114.8,106.5,112.5,117.2,97.4,101.4,101.9,110.8,102.1,104.4,105.0,114.1,128.8,112.7,106.6,86.8,107.1,0.0,116.3,0.0,107.7,9 месяцев 2011г.,False
2011 год,105.7,126.5,103.7,101.0,107.5,108.8,102.4,102.8,109.0,114.0,106.2,106.3,120.9,100.7,105.9,103.7,109.2,104.1,104.3,105.5,118.2,124.6,106.2,107.5,0.0,107.5,107.3,107.7,118.0,107.4,2011,True
1 квартал 2012г.,102.1,95.0,103.0,99.6,108.8,107.5,92.6,99.3,108.0,113.7,107.0,107.6,113.9,101.4,101.8,115.4,107.4,101.6,104.0,105.1,107.8,113.3,192.7,105.3,0.0,105.3,0.0,109.3,0.0,105.7,1 квартал 2012г.,False
1 полугодие 2012г.,101.5,94.0,102.1,99.5,106.2,106.4,98.3,100.5,109.1,114.3,107.4,108.7,112.4,101.7,105.4,112.7,108.5,101.7,104.2,104.7,106.7,115.4,238.7,105.5,0.0,105.5,0.0,103.5,0.0,105.3,1 полугодие 2012г.,False
