Industry,2010_1 квартал,2010_1 полугодие,2010_9 месяцев,2010_год,2011_1 квартал,2011_1 полугодие,2011_9 месяцев,2011_год,2012_1 квартал,2012_1 полугодие,2012_9 месяцев,2012_год,2013_1 квартал,2013_1 полугодие,2013_9 месяцев,2013_год,2014_1 квартал,2014_1 полугодие,2014_9 месяцев,2014_год,2015_1 квартал,2015_1 полугодие,2015_9 месяцев,2015_год,2016_1 квартал,2016_1 полугодие,2016_9 месяцев,2016_год,2017_1 квартал,2017_1 полугодие,2017_9 месяцев,2017_год,2018_1 квартал,2018_1 полугодие,2018_9 месяцев,2018_год,2019_1 квартал,2019_1 полугодие,2019_9 месяцев,2019_год,2020_1 квартал,2020_1 полугодие,2020_9 месяцев,2020_год,2021_1 квартал,2021_1 полугодие,2021_9 месяцев,2021_год,2022_1 квартал,2022_1 полугодие,2022_9 месяцев,2022_год,2023_1 квартал,2023_1 полугодие,2023_9 месяцев,2023_год,2024_1 квартал,2024_1 полугодие,2024_9 месяцев,2024_год,2025_1 квартал,2025_1 полугодие,2025_9 месяцев
В целом по экономике,445.3,964.9,1571.6,2437.3,557.9,1177.9,1957.1,2867.1,604.1,1269.9,2090.9,3116.0,684.4,1402.6,2351.0,3560.7,785.0,1635.6,2694.7,4007.4,861.3,1729.6,2817.7,4177.6,947.2,1948.7,3160.2,4762.4,1055.7,2169.4,3571.1,5518.6,1173.8,2459.5,3935.8,6173.2,1284.2,2723.4,4330.5,6869.8,1489.6,2825.6,4522.5,7111.9,1593.5,3178.1,5204.2,8423.4,1891.7,3853.6,6300.9,10083.2,2188.2,4405.4,7032.9,11354.2,2409.2,4866.3,7862.6,12886.0,2806.9,5692.7,9225.9
Производство товаров,452.3,1008.3,1665.3,2580.7,575.6,1273.6,2129.7,3165.2,619.0,1330.3,2232.7,3294.3,720.4,1453.4,2448.0,3645.3,843.0,1721.9,2880.6,4414.6,927.5,1874.6,3109.0,4375.1,1016.3,2105.7,3514.1,5211.8,1251.5,2550.9,4205.1,6422.4,1479.3,3169.4,5137.8,7716.9,1609.2,3521.6,5696.5,8720.0,1867.1,3718.9,6112.4,9101.4,2120.7,4336.8,7342.1,11278.0,2641.7,5538.4,9249.0,14094.2,2956.2,6126.7,9823.9,15233.7,3252.9,6614.3,10747.8,17149.0,3864.5,7847.4,12836.4
"Сельское, лесное и рыбное хозяйство",40.2,99.8,277.6,428.8,51.2,112.2,333.0,641.6,62.2,134.5,384.8,612.2,65.6,162.5,517.0,781.9,84.5,202.6,594.6,1070.2,125.2,288.4,847.3,1242.3,140.6,328.5,962.8,1401.9,170.1,384.3,1112.2,1735.9,190.4,467.5,1244.7,2076.6,220.2,526.6,1454.7,2466.0,284.5,646.4,1823.5,3004.8,333.5,749.3,2153.5,3350.7,403.5,923.4,2780.9,4608.2,512.5,1176.0,2811.3,4235.3,572.9,1243.9,3177.9,5074.1,611.7,1376.9,3681.4
Промышленность,1474.5,3220.2,4908.5,7564.6,1923.3,4207.2,6558.6,9068.5,1950.7,4105.2,6433.9,9303.1,2224.5,4239.4,6576.7,9609.9,2541.6,4940.3,7692.2,9918.6,2229.2,4378.3,6779.0,9381.4,2386.2,4841.5,7532.3,11279.0,2940.4,5877.2,9023.5,13390.0,3445.9,7154.6,10890.6,15869.8,3706.1,7875.6,11777.5,17494.4,4088.2,7919.4,12084.3,17533.8,4654.4,9240.6,14704.4,22625.4,5859.7,12009.1,18739.1,27509.0,6048.5,12285.9,18744.4,28544.5,6533.1,12977.5,19936.8,30849.3,7410.4,14881.8,23131.0
Горнодобывающая промышленность и разработка карьеров,4183.0,8848.8,13311.5,21933.9,5651.0,11792.9,17294.8,24191.7,5071.9,10642.3,16448.1,23497.6,5488.6,10280.9,15637.1,21968.9,5919.1,11518.0,17704.6,20309.6,4414.4,8949.6,13615.3,18196.4,4524.4,9674.8,14818.8,21787.3,5361.7,11432.2,17290.5,26162.4,6851.1,15250.4,23031.3,32167.0,7687.8,17254.0,25061.5,35837.2,8062.5,15709.3,23159.4,31046.0,8433.4,17822.8,28136.9,42769.0,11294.1,24892.3,38166.3,55344.9,10991.9,24510.6,36753.1,55370.6,11788.1,26294.0,39625.9,57800.0,12872.4,28188.1,42983.4
Обрабатывающая промышленность,816.3,2007.4,3168.5,4367.0,1039.0,2513.4,4331.0,5775.3,1196.7,2641.8,4336.1,6323.7,1435.5,2810.7,4537.5,6986.2,1658.3,3284.3,5362.3,7633.7,1746.1,3261.9,5306.4,7602.8,1930.4,3788.9,6025.6,9366.4,2437.5,4631.1,7216.8,10547.0,2571.6,5053.7,7906.1,12169.8,2750.1,5587.4,8674.6,13660.8,3248.6,6297.0,9992.7,15874.3,4081.0,7724.4,12490.4,19508.2,4916.0,9379.5,15032.3,22699.9,5481.3,10146.7,15672.5,24237.5,5771.2,10450.5,16327.1,27066.4,6869.3,12577.4,19771.1
"Снабжение электроэнергией, газом, паром, горячейводой  и кондиционированнымвоздухом",723.3,1210.7,1792.9,2962.3,896.5,1492.2,2143.2,3264.4,941.4,1582.5,2174.8,3272.3,973.5,1729.8,2412.7,3589.3,1229.3,2111.1,2929.5,3677.2,1131.0,2093.1,2891.7,4199.9,1393.0,2389.6,3404.1,4809.7,1561.3,2684.8,4126.2,5983.9,1950.8,3364.3,4818.1,6607.8,1813.5,3183.9,4840.0,6531.3,1962.4,3566.0,5495.6,7362.5,2099.2,3793.8,5797.9,8726.2,2397.9,4363.7,6677.3,9808.9,2541.5,4924.3,7399.0,11353.0,3299.9,5859.0,8631.0,13003.8,3381.4,6601.8,10261.5
"Водоснабжение сбор, обработка и удаление отходов; деятельность поликвидации загрязнений",230.2,544.3,792.0,1163.9,338.2,608.1,936.8,1472.0,264.9,583.7,928.9,1288.1,277.6,556.7,868.0,1242.0,322.6,614.9,943.4,1202.7,326.6,593.4,912.9,1243.4,324.0,642.8,1026.1,1463.7,417.5,805.9,1299.5,1910.8,512.1,1023.2,1492.3,1940.8,518.6,1003.6,1505.3,2078.9,582.9,1110.5,1666.0,2068.5,642.0,1162.1,1795.3,2610.1,748.7,1417.1,2150.4,2940.3,781.8,1486.3,2323.2,3124.9,905.1,1592.2,2543.0,3562.1,950.8,1798.1,2827.1
Строительство,379.5,996.7,1882.7,2949.2,421.4,1009.4,1821.5,2958.5,393.0,1038.8,1930.6,2972.3,385.2,1092.3,2022.2,3250.5,418.1,1225.8,2169.4,3477.9,463.7,1371.0,2467.0,3550.3,499.9,1460.1,2667.9,4062.6,560.0,1609.5,2981.4,4848.7,645.5,1859.3,3421.7,5223.2,706.3,2062.9,3887.2,5996.3,940.4,2435.7,4418.2,6792.5,1082.7,2753.5,4859.7,7429.6,1209.0,3112.0,5356.9,8278.4,1460.0,3654.5,6281.9,10463.9,1757.6,4121.8,7053.5,12289.6,2304.1,5010.4,8413.6
Производство услуг,439.1,927.0,1489.3,2310.1,542.6,1095.5,1809.8,2619.1,591.9,1220.1,1973.7,2970.5,656.2,1362.4,2274.1,3494.2,743.1,1572.9,2559.6,3739.9,821.3,1640.1,2634.6,4053.7,906.7,1853.0,2940.8,4488.5,950.3,1956.5,3209.4,5011.6,1015.6,2085.9,3295.1,5356.8,1117.6,2308.3,3617.0,5926.7,1301.7,2370.3,3704.3,6093.5,1332.5,2594.5,4118.4,6969.9,1527.2,3022.2,4835.6,8130.3,1840.5,3618.9,5752.2,9586.9,2039.3,4082.3,6555.1,10963.9,2358.8,4769.4,7677.6
Оптовая и розничнаяторговля; ремонт автомобилей и мотоциклов,438.3,901.4,1477.1,2315.2,546.4,1142.7,2102.5,3095.7,640.1,1450.6,2487.7,3851.9,712.1,1633.4,2963.6,4310.3,849.6,1989.4,3461.7,5072.9,1017.2,2203.3,3681.6,5546.7,1083.1,2389.5,3925.5,6048.7,1180.0,2525.1,4108.8,6847.9,1257.6,2699.4,4397.5,7422.3,1387.5,3015.5,4872.4,8237.6,1571.1,2887.8,4707.4,8559.6,1628.2,3279.2,5396.6,9715.5,1918.5,3872.9,6325.1,11380.2,2435.4,4796.1,7791.5,14399.0,2793.6,5453.9,8947.0,17009.4,3183.9,6333.2,10499.9
