код                   КАТО,Period,Всего,"Сельское, лесное и рыбное хозяйство",Промышленность,Горнодобывающая промышленность и разработка карьеров,Обрабатывающая промышленность,"Электроснабжение, подача газа, пара и воздушное кондиционирование","Водоснабжение; канализационная система, контроль над сбором и распределением отходов",Строительство,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,Транспорт и складирование,Услуги по проживанию и питанию,Информация и связь,Финансовая и страховая деятельность,Операции с недвижимым имуществом,"Профессиональная, научная и техническая деятельность",Деятельность в области административного и вспомогательного обслуживания,Государственное управление и оборона; обязательное социальное обеспечение,Образование,Здравоохранение и социальные услуги,"Искусство, развлечения и отдых",Предоставление прочих видов услуг,Прочие услуги,КИУФП 1),Чистые налоги на продукты и импорт,КАТО коды,Валовой региональный продукт,Валовая добавленная стоимость,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
0,Республика Казахстан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I квартал 2010 года,4020878.4,90224.5,1391949.9,830790.6,439983.2,108062.6,13113.5,214917.5,531247.1,291463.0,,112890.4,,383305.3,,,,,,,,876580.9,69194.1,197493.9,,,,,,,,,,,,,,,,,,,,,,,
,I полугодие 2010 года,8712143.9,226705.8,3013661.2,1732753.2,1069292.1,179413.8,32202.1,555020.2,1115910.0,642227.6,,254126.9,,822896.2,,,,,,,,1844217.5,196113.2,433491.7,,,,,,,,,,,,,,,,,,,,,,,
,9 месяцев 2010 года,14135228.1,633523.0,4606949.7,2591097.1,1706620.7,262688.8,46543.1,1072182.2,1831344.2,1114733.6,,392645.8,,1201660.9,,,,,,,,2855900.3,314041.3,740329.7,,,,,,,,,,,,,,,,,,,,,,,
,2010 год,21815517.0,983994.9,7177125.8,4249267.9,2469804.1,391236.4,66817.4,1680502.5,2834219.3,1750835.6,,675234.2,,1884428.6,,,,,,,,4129550.1,466859.4,1166485.4,,,,,,,,,,,,,,,,,,,,,,,
,I квартал 2011 года,5240223.5,115401.2,1812665.5,1096759.2,568258.4,127691.4,19956.5,240435.5,656672.0,359362.0,,137498.6,,453937.6,,,,,,,,1099446.2,134934.7,499739.6,,,,,,,,,,,,,,,,,,,,,,,
,I полугодие 2011 года,11240030.9,253450.7,3980944.9,2366942.0,1363436.6,214517.2,36049.1,580114.0,1382074.4,717493.1,,308825.5,,932601.1,,,,,,,,2193407.1,268696.1,1159816.2,,,,,,,,,,,,,,,,,,,,,,,
,9 месяцев 2011 года,18664939.5,750606.2,6268902.7,3561670.8,2330503.7,316790.4,59937.8,1084136.2,2506588.3,1290907.7,,469230.7,,1347266.4,,,,,,,,3478624.7,406516.0,1875192.6,,,,,,,,,,,,,,,,,,,,,,,
,2011 год,28243052.7,1409038.6,8708469.4,5003252.9,3131187.0,478933.7,95095.8,1816611.5,3819319.2,1937037.6,,698970.9,,2390740.0,,,,,,,,4961687.6,,2501177.9,,,,,,,,,,,,,,,,,,,,,,,
,I квартал 2012 года,6097729.9,133618.7,1967596.4,1143503.3,650928.0,152777.3,20387.8,256943.0,771368.3,413005.0,63853.0,140205.5,149167.2,551021.9,342016.7,125496.9,138276.2,251556.5,143333.2,38027.5,50704.4,,,561539.5,,,,,,,,,,,,,,,,,,,,,,,
,I полугодие 2012 года,12849001.6,292927.3,4134914.5,2398155.9,1437755.9,253949.7,45053.0,676805.6,1744938.5,858807.0,106579.0,309757.9,312654.7,1084177.6,596338.2,235973.6,300420.5,480959.0,286764.7,86003.2,143037.3,,,1197943.0,,,,,,,,,,,,,,,,,,,,,,,
,9 месяцев 2012 года,20848732.6,841850.0,6493635.5,3702550.4,2371402.9,347843.0,71839.2,1258704.6,2989975.9,1434900.4,176015.1,501193.1,497728.0,1530626.5,848431.7,362743.1,444720.3,717810.6,463010.1,134623.9,315192.1,,,1837571.7,,,,,,,,,,,,,,,,,,,,,,,
,2012 год,31015186.6,1330033.6,9343705.5,5288740.5,3436730.5,518624.1,99610.4,1915692.2,4624794.8,2294128.9,,811345.7,,2659454.9,,,,,,,,5548934.5,,2487096.5,,,,,,,,,,,,,,,,,,,,,,,
,I квартал 2013 года,6966935.0,134647.2,2316673.8,1347420.8,777608.3,169352.0,22292.7,256581.6,892689.0,501245.8,73196.4,144267.5,193180.1,602442.1,402073.1,140975.5,146500.9,264196.3,149821.6,41518.6,58639.2,,,648286.3,,,,,,,,,,,,,,,,,,,,,,,
